,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller
11281,Tycoon City: New York,https://www.imdb.com/title/tt0448167/?ref_=adv_li_tt,2006,T,7.7,22,"-Build your own Manhattan empire (in New-York, USA), creating and customizing over 100 types of major businesses: run a nightclub, oversee a media conglomerate, open your own Broadway theater and more.",False,True,True,False,False,True,False,False,False
11282,LittleBigPlanet 2 Cross Controller,https://www.imdb.com/title/tt4280380/?ref_=adv_li_tt,2012,,,,Sackboy travels across the Omniverse to discover the lost treasure.,False,True,False,False,False,False,False,False,False
11283,Little Monster at School,https://www.imdb.com/title/tt7873826/?ref_=adv_li_tt,1994,,,,Little Monster gets ready for a special visit to school.,False,True,True,False,False,False,False,False,False
11284,Fable,https://www.imdb.com/title/tt3523810/?ref_=adv_li_tt,1996,,8.2,6,A puzzle-solving adventure game in a world of high-fantasy.,False,True,False,False,False,True,False,False,False
11285,Wailing Heights,https://www.imdb.com/title/tt6022280/?ref_=adv_li_tt,2016,,,,"After being invited to a gig in a town no one's ever heard of, Frances Finklestein is trapped in a holding cell, charged with the crime of - Being Alive. A mysterious cellmate teaches you the power of possession.",False,True,True,False,False,False,False,False,False
11286,Zork I: The Great Underground Empire,https://www.imdb.com/title/tt0455884/?ref_=adv_li_tt,1980,,7.6,77,"Told in second person, you play an AFGNCAAP (an Ageless, Faceless, Gender-Neutral, Culturally-Ambiguous Adventure Person) who begins in a serene setting, a house nestled in a thick forest. ... See full summary »",False,True,False,False,False,True,False,False,False
11287,Spaceship Warlock,https://www.imdb.com/title/tt1034073/?ref_=adv_li_tt,1990,,,,Add a Plot,False,True,False,False,False,False,False,False,False
11288,Sherlock Holmes: Nemesis,https://www.imdb.com/title/tt1343061/?ref_=adv_li_tt,2007,E10+,7.7,63,The world's greatest thief verses the world's greatest detective.,False,True,False,True,False,False,False,False,False
11289,Hatsune Miku Project Diva: Mega 39's,https://www.imdb.com/title/tt10920756/?ref_=adv_li_tt,2020,T,8.4,14,Hatsune Miku makes her Nintendo Switch debut in Hatsune Miku: Project DIVA Mega Mix.,False,True,False,False,False,False,False,False,False
11290,The Hayseed Knight,https://www.imdb.com/title/tt10928036/?ref_=adv_li_tt,2017,,,,"The Hayseed Knight is a plot driven fantasy comedy visual novel that follows the adventures of Ader, the one eyed deer, while he desperately tries to stay on track to fulfill his dream: becoming a knight.",False,True,True,False,False,True,False,False,False
11291,Steins;Gate: Linear Bounded Phenogram,https://www.imdb.com/title/tt8746182/?ref_=adv_li_tt,2013,M,8.5,45,"You followed Okarin through the labyrinth of time and space; now relive the twists and turns of Steins;Gate through the eyes of Kurisu, Suzuha, Daru, and the rest of the Future Gadget Lab ... See full summary »",False,True,False,False,False,False,False,True,False
11292,Bear in the Big Blue House: Bear's Sense of Adventure,https://www.imdb.com/title/tt5666504/?ref_=adv_li_tt,1999,,7.7,7,"Bear helps you find stuff to make triple berry pie, along the way Bear and his friends learn all about the five senses around them.",False,True,False,False,False,False,False,False,False
11293,Stories: The Path of Destinies,https://www.imdb.com/title/tt5968264/?ref_=adv_li_tt,2016,,6.9,83,"Reynardo the Fox is a clever rogue, but he's not as clever as he thinks. He's got himself sucked into a Rebellion against the mad Emperor, and now he's got fateful choices to make. Should ... See full summary »",False,True,False,False,False,False,False,False,False
11294,Math Blaster Episode I: In Search of Spot,https://www.imdb.com/title/tt1555838/?ref_=adv_li_tt,1994,,6.5,14,"Blasternaut and his robotic friend Spot are about to embark on a journey across space, but they find that their ship's engine isn't working. Blasternaut beams Spot out for repairs, while he... See full summary »",False,True,False,False,True,False,False,True,False
11295,Unfair Mario,https://www.imdb.com/title/tt15361104/?ref_=adv_li_tt,2011,,,,In Unfair Mario nothing is as it seems. Try to avoid hidden traps and get to the final flag.,False,True,False,False,False,False,False,False,False
11296,The Pedestrian,https://www.imdb.com/title/tt11817916/?ref_=adv_li_tt,2020,,7.1,56,"The Pedestrian is a 2D puzzle platformer in which you unscramble your environment to traverse a dynamic, life-like 3D world.",False,True,False,False,False,False,False,False,False
11297,Jurassic Explorer,https://www.imdb.com/title/tt11190218/?ref_=adv_li_tt,2017,,,,Mr.DNA has created a Simulation Machine to let his guest (You!) explore a recreation of the park. Explore over fifteen locations from the movies and unlock a variety of customization in Mr.DNA's Emporium to personalize your park.,False,True,False,False,False,False,False,False,False
11298,Nancy Drew: Message in a Haunted Mansion,https://www.imdb.com/title/tt0791187/?ref_=adv_li_tt,2000,,8.3,87,"Nancy drew visits her house keeper's friend, Rose, down in San Francisco trying to open her Victorian mansion into a bed & breakfast. Although, there are strange happenings going on... ... See full summary »",False,True,False,False,False,False,True,False,False
11299,Dr. Muto,https://www.imdb.com/title/tt0420589/?ref_=adv_li_tt,2002,T,6.7,33,Add a Plot,False,True,False,False,False,False,False,False,False
11300,Waku Waku sonikku patokaa,https://www.imdb.com/title/tt0430751/?ref_=adv_li_tt,1991,,5.0,15,"Waku Waku Sonic Patrol Car is a children ride released in December 1991 exclusively in Japan. The arcade ride is part of Sega's ""Wakuwaku"" line[1] and features Sonic the Hedgehog playing ... See full summary »",False,True,False,False,False,False,False,False,False
11301,Mr. Robot: 1.51exfiltrati0n,https://www.imdb.com/title/tt7083202/?ref_=adv_li_tt,2016,,7.7,10,"Taking place during the first season of USA Network's Golden Globe Award-winning drama, you find a smart phone on the ground outside the Fun Society Arcade at Coney Island. Little do you ... See full summary »",False,True,False,False,False,False,False,False,False
11302,The Muppet CDROM: Muppets Inside,https://www.imdb.com/title/tt0206161/?ref_=adv_li_tt,1996,E,7.9,38,Dr. Bunsen Honeydew's latest experiment has backfired and now all the Muppets have become trapped inside the player's computer. Play numerous FMV mini-games to help them escape their computer puns-heavy predicament.,False,True,True,False,True,False,False,False,False
11303,Tales of Destiny,https://www.imdb.com/title/tt7060414/?ref_=adv_li_tt,2006,,8.5,6,Add a Plot,False,True,False,False,False,True,False,False,False
11304,Love Island: The Game,https://www.imdb.com/title/tt10740044/?ref_=adv_li_tt,2018,,5.9,15,Take on the role of a female contestant on the hit show and live your very own Love Island experience. You'll join 10 other hot singles and the choices you make will determine the way the ... See full summary »,False,True,True,False,False,False,False,False,False
11305,Shin-chan: Me and the Professor on Summer Vacation -The Endless Seven-Day Journey-,https://www.imdb.com/title/tt21634186/?ref_=adv_li_tt,2021,E,,,Add a Plot,False,True,False,False,False,False,False,False,False
11306,Song of the Deep,https://www.imdb.com/title/tt9595952/?ref_=adv_li_tt,2016,E,7.2,14,"A young girl travels into the unknown to find her missing father, using a submarine she built out of spare parts.",False,True,False,False,False,False,False,False,False
11307,Spore Hero,https://www.imdb.com/title/tt1574385/?ref_=adv_li_tt,2009,,6.5,18,Save the world from destruction by a mysterious red meteor that crash lands on the planet by destroying red crystals and gaining power from blue crystals.,False,True,False,False,False,False,False,False,False
11308,Cold Case Files,https://www.imdb.com/title/tt0480364/?ref_=adv_li_tt,2004,T,5.5,9,You are assigned to Cold Cases division. Solve six tough cold cases plus downloadable seventh one by re-interviewing witnesses and re-reexamining the previously collected.evidence. Inspired by CSI and Law and Order.mm.,False,True,False,True,False,False,True,False,False
11309,Girl's Club,https://www.imdb.com/title/tt5435234/?ref_=adv_li_tt,1992,,,,Funny matchmaking game for teen girls. Heidi's hosting a girl's club party and it's all about boys. Compete with your friends to pick your dream boyfriends from over 20 candidates. Only the winner gets the perfect date.,False,True,True,False,False,False,False,False,False
11310,Bridge Constructor Portal,https://www.imdb.com/title/tt12769980/?ref_=adv_li_tt,2017,E,7.0,29,"Enter the Aperture Science Enrichment Center and experience Bridge Constructor Portal, The unique merging of the classic Portal and Bridge Constructor games.",False,True,False,False,True,False,False,True,False
11311,Highway Blossoms,https://www.imdb.com/title/tt8439666/?ref_=adv_li_tt,2018,,8.8,19,"The gold rush has struck the west for a second time. Highway Blossoms is the story of Amber, a girl trying her best to be alone on the road until she stumbles upon a young hitchhiker and the journal of a prospector from long ago.",False,True,False,False,False,False,False,False,False
11312,Nancy Drew: The Creature of Kapu Cave,https://www.imdb.com/title/tt0944225/?ref_=adv_li_tt,2006,E,7.1,74,Teen detective Nancy Drew teams up with the Hardy Boys to investigate a legendary creature that may be causing the strange things happening in the Hawaiian rain forest.,False,True,False,False,False,False,True,False,False
11313,Prince Interactive,https://www.imdb.com/title/tt0145845/?ref_=adv_li_tt,1994,Not Rated,7.6,42,"You've made an emergency landing at Prince's space villa. Explore the place, solve a few puzzles and find five pieces of his symbol to fix your ship and leave as well as unlock some previously unreleased material from the artist.",False,True,False,False,False,False,False,True,False
11314,Christmas Nights Into Dreams...,https://www.imdb.com/title/tt0383270/?ref_=adv_li_tt,1996,K-A,8.3,33,Add a Plot,False,True,False,False,False,False,False,False,False
11315,Deadfall Adventures,https://www.imdb.com/title/tt4291070/?ref_=adv_li_tt,2013,M,6.2,45,Famous adventurer Allan Quartermain's great-grandson James Lee goal is to escort a U.S. agent as they travel to Egypt in search for the Heart of Atlantis.,False,True,False,False,False,False,False,False,False
11316,Uncharted Tides: Port Royal,https://www.imdb.com/title/tt14590598/?ref_=adv_li_tt,2019,,,,"Tales about an infamous ship, The Cursed Rose, probably cost renowned sailor Mason Owens his life. As his daughter you can do only one thing - find the damned ship and learn your father's fate.",False,True,False,False,False,False,False,False,False
11317,Fate,https://www.imdb.com/title/tt1677702/?ref_=adv_li_tt,2005,,7.9,18,"The game starts in the town of Grove, where on the outskirts of town the ancient Dungeon Gate leads would-be adventurers to multiple levels of fame, fortune, and death. The player assumes ... See full summary »",False,True,False,False,False,False,False,False,False
11318,Narcissu 10th Anniversary Anthology,https://www.imdb.com/title/tt12733806/?ref_=adv_li_tt,2016,,,,"Narcissu is a thought provoking visual novel series about terminal illness, living, dying, and the relationship between those leaving and those left behind. There are no miracles, no heroes... See full summary »",False,True,False,False,False,False,False,False,False
11319,Nancy Drew: Secret of the Scarlet Hand,https://www.imdb.com/title/tt0407034/?ref_=adv_li_tt,2002,E,8.3,79,Teen detective Nancy Drew interns at a museum featuring an exhibit on ancient Mayan culture while investigating the theft of a priceless artifact.,False,True,False,False,False,False,True,False,False
11320,Emily is Away,https://www.imdb.com/title/tt7537986/?ref_=adv_li_tt,2015,,6.7,116,Emily is Away is an interactive story. Create a screenname and choose your path through the branching narrative.,False,True,True,False,False,False,False,False,False
11321,Sort the Court,https://www.imdb.com/title/tt14842352/?ref_=adv_li_tt,2015,E,,,"Sort the Court puts the player in the role of a king (or queen) in charge of making decisions for their kingdom, Helping everyday people, animals and strange creatures with their everyday problems.",False,True,True,False,False,True,False,False,False
11322,Nancy Drew: Ghost of Thornton Hall,https://www.imdb.com/title/tt2920740/?ref_=adv_li_tt,2013,E,8.2,58,Teen detective Nancy Drew searches for a missing woman and investigates ghost sightings at an old southern plantation.,False,True,False,False,False,False,True,False,False
11323,Hollywood Body Double,https://www.imdb.com/title/tt5491616/?ref_=adv_li_tt,1996,AO,,,"You're in a movie studio where real life famous Hollywood body double Shelley Michelle and her colleagues shoot their sex scenes. Meet everyone, find out what your role is and don't be rude or you'll be thrown out and it's game over.",False,True,False,False,False,False,False,False,False
11324,Apeirophobia,https://www.imdb.com/title/tt21238640/?ref_=adv_li_tt,2022,,,,"An camera man is shooting a film, when suddenly he noclips into The Backrooms",False,True,False,False,False,False,False,False,True
11325,Assassin's Creed Rebellion,https://www.imdb.com/title/tt21382448/?ref_=adv_li_tt,2018,,,,Assassin's Creed Rebellion takes place in 15th-century Spain. The title Assassins fight the Inquisition - the brotherhood is represented by over forty characters; we are talking not only ... See full summary »,False,True,False,False,False,False,False,False,False
11326,Final Fantasy Crystal Chronicles: Echoes of Time,https://www.imdb.com/title/tt1368077/?ref_=adv_li_tt,2009,E10+,6.0,23,Add a Plot,False,True,False,False,False,False,False,False,False
11327,Waxworks,https://www.imdb.com/title/tt0453566/?ref_=adv_li_tt,1992,,7.1,32,"An unnamed protagonist gains possession of a wax museum owned by his deceased uncle. The guard gives him a crystal ball, which contains his uncle's soul, who tells about a curse the protagonist must break.",False,True,False,False,False,True,False,False,False
11328,Strong Bad's Cool Game for Attractive People Episode 2: Strong Badia the Free,https://www.imdb.com/title/tt1275826/?ref_=adv_li_tt,2008,E10+,7.9,26,"The King of Town, has made a decidedly tyrannical move. An e-mail tax, which resulted Strong Bad under a house arrest (with an explosive collar locked around his neck that detonates if he ... See full summary »",False,True,True,False,False,True,False,False,False
11329,ABC Murders,https://www.imdb.com/title/tt1807896/?ref_=adv_li_tt,2009,,7.3,17,Add a Plot,False,True,False,False,False,False,False,False,False
11330,The Emperor's Got Game,https://www.imdb.com/title/tt7561006/?ref_=adv_li_tt,2001,,,,Answer trivia questions based on The Emperor's New Groove to help Kuzco become a human again.,False,True,True,False,True,False,False,False,False
11331,Sweet Home,https://www.imdb.com/title/tt0278750/?ref_=adv_li_tt,1989,,7.6,34,"The famous painter Mamiya Ichirou lived many years in a secluded mansion, and rumor says there are some valuable frescos to find inside. Our investigators Kazuo, Akiko, Taro, Asuka, and Emi... See full summary »",False,True,False,False,False,False,False,False,False
11332,The Famous Five: Five on a Treasure Island,https://www.imdb.com/title/tt0481098/?ref_=adv_li_tt,1991,Not Rated,7.2,12,Text adventure game of the first novel in Enid Blyton's popular kids' series.,False,True,False,False,True,False,False,False,False
11333,Dark Side of the Moon,https://www.imdb.com/title/tt0420572/?ref_=adv_li_tt,1998,T,7.4,20,"FMV adventure game about Jake, who arrives to his late uncle's mining space station after inheriting it to investigate his death. Was it suicide or are the mining corporation and the indigenous people who work as miners somehow involved?",False,True,False,False,False,False,True,True,False
11334,Ib,https://www.imdb.com/title/tt21210684/?ref_=adv_li_tt,2022,,,,"A young girl named Ib visits an art gallery with her parents, While perusing the various works of art, Ib suddenly realizes that she is alone, As she searches for someone, anyone.. the museum begins to change..",False,True,False,False,False,True,False,False,False
11335,Team Xtreme: Operation Weather Disaster,https://www.imdb.com/title/tt5453236/?ref_=adv_li_tt,1995,,,,"Team Xtreme must stop a mad weatherman, who has somehow gained control over weather. Ancient ruins might hold the answer to the origin of his power and how to stop him.",False,True,False,False,False,False,True,True,False
11336,Freddi Fish 2: The Case of the Haunted Schoolhouse,https://www.imdb.com/title/tt4538556/?ref_=adv_li_tt,1996,,7.9,48,Freddi Fish and her enthusiastic sidekick Luther must solve puzzles to collect several items that will help them make a trap for the mysterious ghost who scared their teacher and stole all toys from their school.,False,True,True,True,False,False,False,False,False
11337,Cognition: An Erica Reed Thriller - Episode 2: The Wise Monkey,https://www.imdb.com/title/tt3038252/?ref_=adv_li_tt,2013,,7.5,29,FBI agent Erica Reed has an ability to see certain past events. Her co-worker and love interest is kidnapped by a female serial killer he was investigating. The serial killer who killed Erica's brother may have had an accomplice.,False,True,False,True,False,False,True,False,False
11338,Lifeless Planet,https://www.imdb.com/title/tt3818472/?ref_=adv_li_tt,2014,,6.8,106,"While seeking life on a distant planet, a skeptical astronaut discovers an abandoned Russian laboratory. He suspects his mission is a hoax until a mysterious young woman saves him from a strange and deadly phenomenon...",False,True,False,False,False,False,False,False,False
11339,Don't Notice Me,https://www.imdb.com/title/tt9248562/?ref_=adv_li_tt,2018,,,,"Don't Notice Me is a narrative adventure game where you navigate high school politics, deceive authority figures, pick locks, break into rooms and solve murder mysteries: Typical teenage activities.",False,True,False,False,False,False,False,False,False
11340,Mystery of Mortlake Mansion,https://www.imdb.com/title/tt20454672/?ref_=adv_li_tt,2011,,,,"A letter is sent to the protagonist, telling them that they must go to the Mortlake Mansion. Upon entering the mansion, they are locked inside. They must now find an escape and uncover the mysteries of the mansion along the way.",False,True,False,False,False,False,False,False,False
11341,Ilomilo,https://www.imdb.com/title/tt2112969/?ref_=adv_li_tt,2010,E,7.9,22,"The two characters, ilo and milo always seem to get separated from each other in the surrealistic and ever changing world they inhabit, and the goal of each level is to reunite them.",False,True,False,False,False,False,False,False,False
11342,Animism: Book of Emissaries,https://www.imdb.com/title/tt3955284/?ref_=adv_li_tt,2014,,,,Add a Plot,False,True,False,False,False,False,False,False,False
11343,Black Sands: Legends of the Rift,https://www.imdb.com/title/tt7619552/?ref_=adv_li_tt,,,,,"Black Sands is a bold new visual novel drawing from African, Indian and Middle Eastern mythology, married to an innovative spin on speculation about ancient aliens and precursor races.",False,True,False,False,False,False,False,False,False
11344,Sonic Racing,https://www.imdb.com/title/tt11220410/?ref_=adv_li_tt,2019,,5.7,10,The world's fastest hedgehog is back in SONIC RACING. Take control of one of 15 playable characters from the Sonic universe and compete in the ultimate multiplayer racing experience.,False,True,False,False,False,False,False,False,False
11345,Armadillo Knight,https://www.imdb.com/title/tt20198378/?ref_=adv_li_tt,2006,,,,"Galan the armadillo, Knight of Serenity, must rescue the villagers of Kenora from the dragon.",False,True,False,False,False,False,False,False,False
11346,Anna's Quest,https://www.imdb.com/title/tt5282542/?ref_=adv_li_tt,2015,,7.4,38,"When Anna's Grandfather falls suddenly ill to an unknown sickness, the little girl decides to venture out into the world on her own to find a cure.",False,True,False,False,False,False,False,False,False
11347,Beacon Pines,https://www.imdb.com/title/tt14142200/?ref_=adv_li_tt,2022,,,,Add a Plot,False,True,False,False,False,False,False,False,False
11348,Nancy Drew: Labyrinth of Lies,https://www.imdb.com/title/tt4110652/?ref_=adv_li_tt,2014,E10+,7.7,38,Teen detective Nancy Drew investigates a series of thefts from a museum in Greece.,False,True,False,False,False,False,True,False,False
11349,Geisha,https://www.imdb.com/title/tt1779809/?ref_=adv_li_tt,1990,,,,"In Tokyo, a mad scientist kidnaps Eva, the protagonist's girlfriend, and plans to turn her into his sex cyborg. Solve puzzles and beat arcade sequences to save her.",False,True,False,False,False,False,False,True,True
11350,Dora the Explorer: Barnyard Buddies,https://www.imdb.com/title/tt11937580/?ref_=adv_li_tt,2003,E,,,Dora and Boots must save the day by rescuing all the farm animals and bring them back to the farm,False,True,False,False,True,False,False,False,False
11351,Ertugrul Gazi,https://www.imdb.com/title/tt15398926/?ref_=adv_li_tt,2020,,,,Add a Plot,False,True,False,False,False,False,False,False,False
11352,Sam and Max: Abe Lincoln Must Die!,https://www.imdb.com/title/tt1016087/?ref_=adv_li_tt,2007,T,8.3,117,"The president's lost it. Federally mandated group hugs, a pudding embargo... what's next, gun control? Sam & Max are off to Washington to take care of this bozo, but the political climate ... See full summary »",False,True,False,False,False,False,False,False,False
11353,Nightmares from the Deep 3: Davy Jones,https://www.imdb.com/title/tt14590720/?ref_=adv_li_tt,2014,,,,Add a Plot,False,True,False,False,False,True,True,False,False
11354,Final Fantasy Crystal Chronicles: My Life as a Darklord,https://www.imdb.com/title/tt12987726/?ref_=adv_li_tt,2009,E10+,,,Add a Plot,False,True,False,False,False,False,False,False,False
11355,Ring of Pain,https://www.imdb.com/title/tt16612086/?ref_=adv_li_tt,2020,E10+,7.3,6,"Ring of Pain is a roguelike card crawler where you get to observe and plan your route. Will you go for the loot or backstab a creeping horror? As you scavenge, fight and sneak to new encounters, the ring reacts to your actions",False,True,False,False,False,True,False,False,False
11356,Sesame Street: The Adventures of Elmo in Grouchland,https://www.imdb.com/title/tt8586366/?ref_=adv_li_tt,1999,E,,,"Elmo and his friend Blanket go outside after playing hide and seek, and they find Zoe but Elmo doesn't want to share Blanket with Zoe and he fly's loose and goes down Oscar's garbage can to Grouchland and Elmo needs to find Blanket.",False,True,False,False,True,False,False,False,False
11357,Naruto Powerful Shippûden,https://www.imdb.com/title/tt5572844/?ref_=adv_li_tt,2012,E10+,7.7,8,Add a Plot,False,True,False,False,False,False,False,False,False
11358,Garage: Bad Dream Adventure,https://www.imdb.com/title/tt18233462/?ref_=adv_li_tt,1999,M,,,GARAGE: Bad Dream Adventure is a point-and-click adventure video game where you get to play as a alien-like robot who must find his way out of this surreal and nightmarish world inhabited by biomechanical machines.,False,True,False,False,False,False,True,False,False
11359,Scooby-Doo Mystery,https://www.imdb.com/title/tt0469181/?ref_=adv_li_tt,1995,K-A,7.6,61,A point-and-click style adventure featuring two playable episodes of a typical Scooby-Doo episode.,False,True,True,False,False,False,True,False,False
11360,Dragon Warrior III,https://www.imdb.com/title/tt0302510/?ref_=adv_li_tt,1988,,7.8,119,Dragon Quest III is set many years before the original Dragon Quest in a world separate from the first two games. A wicked fiend named Baramos threatens to destroy the world.,False,True,False,False,False,True,False,False,False
11361,Stella Deus: The Gate of Eternity,https://www.imdb.com/title/tt0489280/?ref_=adv_li_tt,2004,T,7.2,12,Add a Plot,False,True,False,False,False,True,True,False,False
11362,Lara Croft Go,https://www.imdb.com/title/tt4974898/?ref_=adv_li_tt,2015,E10+,7.1,156,"A turn based puzzle-adventure set in a long-forgotten world. Explore the ruins of an ancient civilization, discover well-kept secrets and face deadly challenges as you uncover the myth of the Queen of Venom.",False,True,False,False,False,False,False,False,False
11363,Mario & Luigi: Dream Team,https://www.imdb.com/title/tt2882136/?ref_=adv_li_tt,2013,E10+,7.5,588,Mario and Luigi embark on the adventure of their dreams as they strive to rescue Princess Peach and help Prince Dreambert free his petrified Pi'illo people from the bat-king Antasma's curse.,False,True,False,False,False,False,False,False,False
11364,Star Control 2,https://www.imdb.com/title/tt0443653/?ref_=adv_li_tt,1992,,8.7,105,"In the early 22nd century, a lone starship returns to Earth to discover that it has been conquered by a race of alien slavers known as the Ur-Quan. Its crew embarks on a galaxy-wide quest ... See full summary »",False,True,False,False,False,False,False,True,False
11365,Costume Quest,https://www.imdb.com/title/tt2148628/?ref_=adv_li_tt,2010,,6.9,115,"A brother and sister go out trick or treating on Halloween. One of them dresses up as a candy corn and is captured by creatures called grubbins, who are trying to steal all of the candy in ... See full summary »",False,True,False,False,False,False,False,False,False
11366,Root Letter,https://www.imdb.com/title/tt6247124/?ref_=adv_li_tt,2016,M,7.1,14,"Set in Shimane prefecture, a place rich in history, culture and natural beauty, Root Letter revolves around the mystery of Fumino Aya, your old high school pen friend who went missing 15 years ago.",False,True,False,False,False,False,True,False,False
11367,Dracula 3: The Path of the Dragon,https://www.imdb.com/title/tt1964670/?ref_=adv_li_tt,2008,,8.2,35,"In 1920, a priest is sent to Transylvania by the Vatican to examine a female candidate for sainthood. Upon arriving there however, he discovers that she had died during an epidemic of what she believed to be vampirism.",False,True,False,False,False,True,False,False,False
11368,Naruto Shippûden: Dragon Blade Chronicles,https://www.imdb.com/title/tt5252618/?ref_=adv_li_tt,2009,T,5.6,17,Add a Plot,False,True,False,False,False,False,False,False,False
11369,King's Quest II: Romancing the Stones,https://www.imdb.com/title/tt0453504/?ref_=adv_li_tt,2002,,7.8,48,"An unofficial fan-made remake of Sierra's King's Quest II. A year has passed since Sir Graham became King of Daventry. However, he is very lonely. After witnessing a vision in his magic ... See full summary »",False,True,False,False,False,True,False,False,False
11370,Sam and Max: Reality 2.0,https://www.imdb.com/title/tt1016088/?ref_=adv_li_tt,2007,T,8.3,111,"With an Internet crisis looming and a viral video game holding its players hostage, Sam & Max will need to slip into a new reality to set things right. But can the Freelance Police crack ... See full summary »",False,True,False,False,False,False,False,False,False
11371,Exo One,https://www.imdb.com/title/tt13954010/?ref_=adv_li_tt,2021,,6.7,23,"EXO ONE is a surreal, exoplanetary exploration game. Drift across enigmatic alien landscapes using a gravity based movement system. Atmospheric, diffused visuals are merged with otherworldly sound effects and a hypnotic soundtrack.",False,True,False,False,False,False,False,False,False
11372,Hiveswap Act 2,https://www.imdb.com/title/tt16711486/?ref_=adv_li_tt,2020,M,,,Add a Plot,False,True,False,False,False,False,False,False,False
11373,Sam and Max: Ice Station Santa,https://www.imdb.com/title/tt1220900/?ref_=adv_li_tt,2007,T,8.1,78,"He's the most ancient and powerful opponent they've ever faced, a hairy, bloated, pagan God - Santa Claus! With Christmas presents on the attack and carols of gunshots drowning out the ... See full summary »",False,True,True,False,False,False,False,False,False
11374,Desperados 2: Cooper's Revenge,https://www.imdb.com/title/tt0838163/?ref_=adv_li_tt,2006,T,7.3,74,Add a Plot,False,True,False,False,False,False,False,False,False
11375,The Act,https://www.imdb.com/title/tt3434158/?ref_=adv_li_tt,2007,,,,"Arcade game in the form of an interactive cartoon later ported to IOS about a nice window cleaner, Edgar, who's in a hospital on the job along with his brother. The player controls the style of his actions during his misadventures there.",False,True,True,False,True,False,False,False,False
11376,Escape the Ayuwoki: Horror Night,https://www.imdb.com/title/tt17939608/?ref_=adv_li_tt,2022,,,,"Horror Night is an Online Multiplayer Coop horror adventure game. You have to escape the monster by solving puzzles and finding items, alongside your teammates. Characters can be customized through cosmetics and skins.",False,True,False,False,False,False,False,False,False
11377,Treasure Quest,https://www.imdb.com/title/tt0205479/?ref_=adv_li_tt,1996,,7.2,15,"Professor Jonathon Faulkner has died and left $1,000,000 to the first of his students who solves all of the enigmatic puzzles and riddles he created in his mansion. Terry Farrel plays a guiding spirit who assists the player.",False,True,False,False,False,True,False,False,False
11378,Gensokyo Odyssey,https://www.imdb.com/title/tt20835422/?ref_=adv_li_tt,2022,,,,Add a Plot,False,True,True,False,False,False,False,False,False
11379,Terranigma,https://www.imdb.com/title/tt0244837/?ref_=adv_li_tt,1995,,8.9,215,"Ark, a boy from the underworld, is drawn by two opposing forces to resurrect all of the Planet's living things, and to lead their growth into civilization.",False,True,False,False,False,True,False,False,False
11380,Kerbal Space Program,https://www.imdb.com/title/tt5181240/?ref_=adv_li_tt,2015,,7.6,118,Satellites Rockets Epic Failures! Build them all in KSP,False,True,True,False,False,False,False,True,False
11381,The PowerPuff Girls: Relish Rampage,https://www.imdb.com/title/tt0349993/?ref_=adv_li_tt,2002,E,7.5,37,The Pickloids have invaded Townsville and it is up to the Powerpuff Girls to stop them.,False,True,True,False,True,False,False,False,False
11382,The Visitor,https://www.imdb.com/title/tt5649126/?ref_=adv_li_tt,2007,M,7.6,8,Guide an alien through a Earth landscape.,False,True,False,False,False,False,False,True,False
11383,The New Adventures of the Time Machine,https://www.imdb.com/title/tt8349710/?ref_=adv_li_tt,2000,E,,,"Author H.G. Wells travels 800 000 years into the future in his time machine and finds himself in a mystical desert city where tyrannical order of Khronos, the god of time, uses chronomancy (time magic) to control the immortal populace.",False,True,False,False,False,True,True,False,False
11384,Risk of Rain,https://www.imdb.com/title/tt3979040/?ref_=adv_li_tt,2013,E10+,7.3,68,Risk Of Rain Is Fun Platformer\Rage Game Incuding Long Runs And Lots Of Things To Collect.,True,True,False,False,False,False,False,True,False
11385,Dora the Explorer: Dora Saves the Snow Princess,https://www.imdb.com/title/tt3951848/?ref_=adv_li_tt,2008,E,,,Add a Plot,False,True,False,False,True,False,False,False,False
11386,Shiness: The Lightning Kingdom,https://www.imdb.com/title/tt6849798/?ref_=adv_li_tt,2017,,6.1,8,A young hero must travel a various worlds doomed to destruction ever since the fragmentation of the planet Mahera.,False,True,False,False,False,False,False,False,False
11387,Jack Keane,https://www.imdb.com/title/tt1117522/?ref_=adv_li_tt,2007,,8.0,49,"Captain Jack Keane gets involved with tea eating plants, an evil scientist, a British secret agent and Amanda, who is on the look-out for adventure.",False,True,True,False,False,False,False,False,False
11388,Nancy Drew: Secrets Can Kill Remastered,https://www.imdb.com/title/tt3035828/?ref_=adv_li_tt,2010,,7.3,31,Add a Plot,False,True,False,False,False,False,True,False,False
11389,Fireboy and Watergirl,https://www.imdb.com/title/tt14309620/?ref_=adv_li_tt,2007,,7.2,19,Add a Plot,False,True,False,False,False,False,False,False,False
11390,The Universim,https://www.imdb.com/title/tt9055700/?ref_=adv_li_tt,2018,,,,Add a Plot,False,True,False,False,False,False,False,False,False
11391,Sim City Enhanced CD-ROM,https://www.imdb.com/title/tt0445092/?ref_=adv_li_tt,1993,Approved,6.9,61,"Build your own simulated city, creating and maintaining all of it's positive and negative aspects.",False,True,False,False,False,False,False,False,False
